offer_id,affiliate_link,sku,name,brand,category,url,price,image_urls,inventory_quantity
lazada,http://go.masoffer.net/v0s/9b-LDizFn8doJoxVrxbrRg?go=http%3A%2F%2Fwww.lazada.vn%2Fcyber-acevivi-fashion-women-hair-wig-oblique-bangs-long-full-wavy-long-straight-short-straight-wigpink-intl-2523183.html,BR468HBAA1I2WFVNAMZ-2421699,Cyber ACEVIVI Fashion Women Hair Wig Oblique Bangs Long Full Wavy/ Long Straight/ Short Straight Wigﾋﾬ?Pinkﾋﾬ? - Intl,,Health & Beauty,http://www.lazada.vn/cyber-acevivi-fashion-women-hair-wig-oblique-bangs-long-full-wavy-long-straight-short-straight-wigpink-intl-2523183.html,576000.0,"[http://static.lazada.vn/p/image-3813252-265496086d4f3c2b64f2568071457b20-product.jpg, http://static.lazada.vn/p/image-3813252-21f2cec6ea1b82cb8682a7dd088d8228-product.jpg, http://static.lazada.vn/p/image-3813252-3b74f81cd8ad161e1485efc868f707ff-product.jpg, http://static.lazada.vn/p/image-3813252-bd6bd8119c7cd56c2c07364b1e5abd8e-product.jpg]",
lazada,http://go.masoffer.net/v0s/9b-LDizFn8doJoxVrxbrRg?go=http%3A%2F%2Fwww.lazada.vn%2Fbouton-d-pad-remplacement-touche-direction-mtal-pour-manette-playstation-ps4-nf-green-intl-2402096.html,OE680ELAA1FHGWVNAMZ-2267906,Bouton D-PAD Remplacement Touche Direction Mﾂtal Pour Manette PlayStation PS4 NF Green - Intl,,"TV, Audio / Video, Gaming & Wearables",http://www.lazada.vn/bouton-d-pad-remplacement-touche-direction-mtal-pour-manette-playstation-ps4-nf-green-intl-2402096.html,124000.0,[],
lazada,http://go.masoffer.net/v0s/9b-LDizFn8doJoxVrxbrRg?go=http%3A%2F%2Fwww.lazada.vn%2Fbouton-d-pad-remplacement-touche-direction-mtal-pour-manette-playstation-ps4-nf-red-intl-2402277.html,OE680ELAA1FHLXVNAMZ-2268086,Bouton D-PAD Remplacement Touche Direction Mﾂtal Pour Manette PlayStation PS4 NF Red - Intl,,"TV, Audio / Video, Gaming & Wearables",http://www.lazada.vn/bouton-d-pad-remplacement-touche-direction-mtal-pour-manette-playstation-ps4-nf-red-intl-2402277.html,124000.0,[],
lazada,http://go.masoffer.net/v0s/9b-LDizFn8doJoxVrxbrRg?go=http%3A%2F%2Fwww.lazada.vn%2Fetanche-epaule-sac-dos-protection-canon-nikon-sony-dslr-slr-camra-lentille-black-and-green-intl-2411974.html,OE680ELAA1FP3AVNAMZ-2280894,Etanche Epaule Sac Dos Protection ﾅ Canon Nikon Sony DSLR SLR Camﾂra Lentille (Black and Green) - Intl,,Cameras,http://www.lazada.vn/etanche-epaule-sac-dos-protection-canon-nikon-sony-dslr-slr-camra-lentille-black-and-green-intl-2411974.html,968000.0,[],
lazada,http://go.masoffer.net/v0s/9b-LDizFn8doJoxVrxbrRg?go=http%3A%2F%2Fwww.lazada.vn%2Fcyber-lilypad-328-atmega328p-16m-main-board-good-quality-pro-compatible-arduinos-ide-intl-2523294.html,OE680ELAA1I2ZIVNAMZ-2421932,Cyber LilyPad 328 ATmega328P 16M Main Board Good Quality Pro Compatible Arduinoﾃ??s IDE - Intl,,"TV, Audio / Video, Gaming & Wearables",http://www.lazada.vn/cyber-lilypad-328-atmega328p-16m-main-board-good-quality-pro-compatible-arduinos-ide-intl-2523294.html,218000.0,"[http://static.lazada.vn/p/image-4923252-e74b9899bccd1b5a9e2015e63948a4d4-product.jpg, http://static.lazada.vn/p/image-4923252-cabf1bf610534b3f19d64ad767fcdb25-product.jpg]",
lazada,http://go.masoffer.net/v0s/9b-LDizFn8doJoxVrxbrRg?go=http%3A%2F%2Fwww.lazada.vn%2Fbouton-d-pad-remplacement-touche-direction-mtal-pour-manette-playstation-ps4-nf-silver-intl-2595645.html,OE680ELAA1JMT9VNAMZ-2514504,Bouton D-PAD Remplacement Touche Direction Mﾂtal Pour Manette PlayStation PS4 NF Silver - INTL,,"TV, Audio / Video, Gaming & Wearables",http://www.lazada.vn/bouton-d-pad-remplacement-touche-direction-mtal-pour-manette-playstation-ps4-nf-silver-intl-2595645.html,124000.0,"[http://static.lazada.vn/p/image-5465952-24e7b1235cc61b5d12916617d8c32c10-product.jpg, http://static.lazada.vn/p/image-5465952-c7a9ffed41e42178775624627f895cea-product.jpg, http://static.lazada.vn/p/image-5465952-d31f648dacc7d0acbc3216e5868cbcb5-product.jpg, http://static.lazada.vn/p/image-5465952-3bb9d137fa72d88e98101f3cb6c161af-product.jpg, http://static.lazada.vn/p/image-5465952-9973c1f89ebef5796546f93623c4467d-product.jpg]",
lazada,http://go.masoffer.net/v0s/9b-LDizFn8doJoxVrxbrRg?go=http%3A%2F%2Fwww.lazada.vn%2F323-adaptateur-200pl-14-qr-plateau-fixation-rapide-manfrotto-camera-trpied-intl-2359995.html,OE680HLAA1EKZFVNAMZ-2223539,323 Adaptateur + 200PL-14 QR Plateau Fixation Rapide ﾅ Manfrotto Camera Trﾂpied - Intl,,Home & Living,http://www.lazada.vn/323-adaptateur-200pl-14-qr-plateau-fixation-rapide-manfrotto-camera-trpied-intl-2359995.html,424000.0,[],
lazada,http://go.masoffer.net/v0s/9b-LDizFn8doJoxVrxbrRg?go=http%3A%2F%2Fwww.lazada.vn%2Funiversel-mini-mignon-chat-support-tlphone-portable-smartphone-tablet-carte-orange-intl-2380054.html,OE680HLAA1F0GMVNAMZ-2245721,universel Mini Mignon Chat Support Tﾂlﾂphone Portable Smartphone tablet carte Orange - Intl,,Home & Living,http://www.lazada.vn/universel-mini-mignon-chat-support-tlphone-portable-smartphone-tablet-carte-orange-intl-2380054.html,79500.0,[],
lazada,http://go.masoffer.net/v0s/9b-LDizFn8doJoxVrxbrRg?go=http%3A%2F%2Fwww.lazada.vn%2Fcyber-sun-flower-wall-sticker-decal-poster-diy-room-art-home-decor-decorationsilver-intl-2522910.html,OE680HLAA1I2OUVNAMZ-2421059,Cyber Sun Flower Wall Sticker Decal Poster DIY Room Art Home Decor Decorationﾋﾬ?Silverﾋﾬ? - Intl,,Home & Living,http://www.lazada.vn/cyber-sun-flower-wall-sticker-decal-poster-diy-room-art-home-decor-decorationsilver-intl-2522910.html,256000.0,"[http://static.lazada.vn/p/image-0192252-9fa329a9124da384f693e1e4e725b1df-product.jpg, http://static.lazada.vn/p/image-0192252-af98838111b5f3b747d819b0d11b52d7-product.jpg]",
lazada,http://go.masoffer.net/v0s/9b-LDizFn8doJoxVrxbrRg?go=http%3A%2F%2Fwww.lazada.vn%2Fcyber-love-family-rules-removable-decal-art-mural-home-decor-wall-stickerblack-intl-2522912.html,OE680HLAA1I2OWVNAMZ-2421063,Cyber Love Family Rules Removable Decal Art Mural Home Decor Wall Stickerﾋﾬ?Blackﾋﾬ? - Intl,,Home & Living,http://www.lazada.vn/cyber-love-family-rules-removable-decal-art-mural-home-decor-wall-stickerblack-intl-2522912.html,464000.0,"[http://static.lazada.vn/p/image-2192252-31ebd93f4d273a5ed7e1e4f90247b00a-product.jpg, http://static.lazada.vn/p/image-2192252-c36adc9e82670d7cd1eade36c4f06242-product.jpg]",
